"id";"textsuggest";"subtext";"extrasearch";"extradisplay";"type";"action";"value";"popularity";"thumbnail_url";"phonetic"
"CO_CM";"Cameroon";"Capital: Yaoundé";"CM";;"Countries";;;19294149;"http://flags.blogpotato.de/flags/large/all/cm.png";
"CO_CN";"China";"Capital: Beijing";"CN";;"Countries";;;1330044000;"http://flags.blogpotato.de/flags/large/all/cn.png";
"CO_CO";"Colombia";"Capital: Bogotá";"CO";;"Countries";;;44205293;"http://flags.blogpotato.de/flags/large/all/co.png";
"CO_CR";"Costa Rica";"Capital: San José";"CR";;"Countries";;;4516220;"http://flags.blogpotato.de/flags/large/all/cr.png";
"CO_CU";"Cuba";"Capital: Havana";"CU";;"Countries";;;11423000;"http://flags.blogpotato.de/flags/large/all/cu.png";
"CO_CV";"Cape Verde";"Capital: Praia";"CV";;"Countries";;;508659;"http://flags.blogpotato.de/flags/large/all/cv.png";
"CO_CW";"Curaçao";"Capital:  Willemstad";"CW";;"Countries";;;141766;"http://flags.blogpotato.de/flags/large/all/cw.png";
"CO_CX";"Christmas Island";"Capital: Flying Fish Cove";"CX";;"Countries";;;1500;"http://flags.blogpotato.de/flags/large/all/cx.png";
"CO_CY";"Cyprus";"Capital: Nicosia";"CY";;"Countries";;;1102677;"http://flags.blogpotato.de/flags/large/all/cy.png";
"CO_CZ";"Czech Republic";"Capital: Prague";"CZ";;"Countries";;;10476000;"http://flags.blogpotato.de/flags/large/all/cz.png";
"CO_DE";"Germany";"Capital: Berlin";"DE";;"Countries";;;81802257;"http://flags.blogpotato.de/flags/large/all/de.png";
"CO_DJ";"Djibouti";"Capital: Djibouti";"DJ";;"Countries";;;740528;"http://flags.blogpotato.de/flags/large/all/dj.png";
"CO_DK";"Denmark";"Capital: Copenhagen";"DK";;"Countries";;;5484000;"http://flags.blogpotato.de/flags/large/all/dk.png";
"CO_DM";"Dominica";"Capital: Roseau";"DM";;"Countries";;;72813;"http://flags.blogpotato.de/flags/large/all/dm.png";
"CO_DO";"Dominican Republic";"Capital: Santo Domingo";"DO";;"Countries";;;9823821;"http://flags.blogpotato.de/flags/large/all/do.png";
"CO_DZ";"Algeria";"Capital: Algiers";"DZ";;"Countries";;;34586184;"http://flags.blogpotato.de/flags/large/all/dz.png";
"CO_EC";"Ecuador";"Capital: Quito";"EC";;"Countries";;;14790608;"http://flags.blogpotato.de/flags/large/all/ec.png";
"CO_EE";"Estonia";"Capital: Tallinn";"EE";;"Countries";;;1291170;"http://flags.blogpotato.de/flags/large/all/ee.png";
"CO_EG";"Egypt";"Capital: Cairo";"EG";;"Countries";;;80471869;"http://flags.blogpotato.de/flags/large/all/eg.png";
"CO_EH";"Western Sahara";"Capital: El-Aaiun";"EH";;"Countries";;;273008;"http://flags.blogpotato.de/flags/large/all/eh.png";
"CO_ER";"Eritrea";"Capital: Asmara";"ER";;"Countries";;;5792984;"http://flags.blogpotato.de/flags/large/all/er.png";
"CO_ES";"Spain";"Capital: Madrid";"ES";;"Countries";;;46505963;"http://flags.blogpotato.de/flags/large/all/es.png";
"CO_ET";"Ethiopia";"Capital: Addis Ababa";"ET";;"Countries";;;88013491;"http://flags.blogpotato.de/flags/large/all/et.png";
"CO_FI";"Finland";"Capital: Helsinki";"FI";;"Countries";;;5244000;"http://flags.blogpotato.de/flags/large/all/fi.png";
"CO_FJ";"Fiji";"Capital: Suva";"FJ";;"Countries";;;875983;"http://flags.blogpotato.de/flags/large/all/fj.png";
"CO_FK";"Falkland Islands";"Capital: Stanley";"FK";;"Countries";;;2638;"http://flags.blogpotato.de/flags/large/all/fk.png";
"CO_FM";"Micronesia";"Capital: Palikir";"FM";;"Countries";;;107708;"http://flags.blogpotato.de/flags/large/all/fm.png";
"CO_FO";"Faroe Islands";"Capital: Tórshavn";"FO";;"Countries";;;48228;"http://flags.blogpotato.de/flags/large/all/fo.png";
"CO_FR";"France";"Capital: Paris";"FR";;"Countries";;;64768389;"http://flags.blogpotato.de/flags/large/all/fr.png";
"CO_GA";"Gabon";"Capital: Libreville";"GA";;"Countries";;;1545255;"http://flags.blogpotato.de/flags/large/all/ga.png";
"CO_GB";"United Kingdom";"Capital: London";"GB";;"Countries";;;62348447;"http://flags.blogpotato.de/flags/large/all/gb.png";
"CO_GD";"Grenada";"Capital: St. George's";"GD";;"Countries";;;107818;"http://flags.blogpotato.de/flags/large/all/gd.png";
"CO_GE";"Georgia";"Capital: Tbilisi";"GE";;"Countries";;;4630000;"http://flags.blogpotato.de/flags/large/all/ge.png";
"CO_GF";"French Guiana";"Capital: Cayenne";"GF";;"Countries";;;195506;"http://flags.blogpotato.de/flags/large/all/gf.png";
"CO_GG";"Guernsey";"Capital: St Peter Port";"GG";;"Countries";;;65228;"http://flags.blogpotato.de/flags/large/all/gg.png";
"CO_GH";"Ghana";"Capital: Accra";"GH";;"Countries";;;24339838;"http://flags.blogpotato.de/flags/large/all/gh.png";
"CO_GI";"Gibraltar";"Capital: Gibraltar";"GI";;"Countries";;;27884;"http://flags.blogpotato.de/flags/large/all/gi.png";
"CO_GL";"Greenland";"Capital: Nuuk";"GL";;"Countries";;;56375;"http://flags.blogpotato.de/flags/large/all/gl.png";
"CO_GM";"Gambia";"Capital: Banjul";"GM";;"Countries";;;1593256;"http://flags.blogpotato.de/flags/large/all/gm.png";
"CO_GN";"Guinea";"Capital: Conakry";"GN";;"Countries";;;10324025;"http://flags.blogpotato.de/flags/large/all/gn.png";
"CO_GP";"Guadeloupe";"Capital: Basse-Terre";"GP";;"Countries";;;443000;"http://flags.blogpotato.de/flags/large/all/gp.png";
"CO_GQ";"Equatorial Guinea";"Capital: Malabo";"GQ";;"Countries";;;1014999;"http://flags.blogpotato.de/flags/large/all/gq.png";
"CO_GR";"Greece";"Capital: Athens";"GR";;"Countries";;;11000000;"http://flags.blogpotato.de/flags/large/all/gr.png";
"CO_GS";"South Georgia and the South Sandwich Islands";"Capital: Grytviken";"GS";;"Countries";;;30;"http://flags.blogpotato.de/flags/large/all/gs.png";
"CO_GT";"Guatemala";"Capital: Guatemala City";"GT";;"Countries";;;13550440;"http://flags.blogpotato.de/flags/large/all/gt.png";
"CO_GU";"Guam";"Capital: Hagåtña";"GU";;"Countries";;;168564;"http://flags.blogpotato.de/flags/large/all/gu.png";
"CO_GW";"Guinea-Bissau";"Capital: Bissau";"GW";;"Countries";;;1565126;"http://flags.blogpotato.de/flags/large/all/gw.png";
"CO_GY";"Guyana";"Capital: Georgetown";"GY";;"Countries";;;748486;"http://flags.blogpotato.de/flags/large/all/gy.png";
"CO_HK";"Hong Kong";"Capital: Hong Kong";"HK";;"Countries";;;6898686;"http://flags.blogpotato.de/flags/large/all/hk.png";
"CO_HM";"Heard Island and McDonald Islands";;"HM";;"Countries";;;0;"http://flags.blogpotato.de/flags/large/all/hm.png";
"CO_HN";"Honduras";"Capital: Tegucigalpa";"HN";;"Countries";;;7989415;"http://flags.blogpotato.de/flags/large/all/hn.png";
"CO_HR";"Croatia";"Capital: Zagreb";"HR";;"Countries";;;4491000;"http://flags.blogpotato.de/flags/large/all/hr.png";
"CO_HT";"Haiti";"Capital: Port-au-Prince";"HT";;"Countries";;;9648924;"http://flags.blogpotato.de/flags/large/all/ht.png";
"CO_HU";"Hungary";"Capital: Budapest";"HU";;"Countries";;;9930000;"http://flags.blogpotato.de/flags/large/all/hu.png";
"CO_ID";"Indonesia";"Capital: Jakarta";"ID";;"Countries";;;242968342;"http://flags.blogpotato.de/flags/large/all/id.png";
"CO_IE";"Ireland";"Capital: Dublin";"IE";;"Countries";;;4622917;"http://flags.blogpotato.de/flags/large/all/ie.png";
"CO_IL";"Israel";"Capital: Jerusalem";"IL";;"Countries";;;7353985;"http://flags.blogpotato.de/flags/large/all/il.png";
"CO_IM";"Isle of Man";"Capital: Douglas, Isle of Man";"IM";;"Countries";;;75049;"http://flags.blogpotato.de/flags/large/all/im.png";
"CO_IN";"India";"Capital: New Delhi";"IN";;"Countries";;;1173108018;"http://flags.blogpotato.de/flags/large/all/in.png";
"CO_IO";"British Indian Ocean Territory";"Capital: Diego Garcia";"IO";;"Countries";;;4000;"http://flags.blogpotato.de/flags/large/all/io.png";
"CO_IQ";"Iraq";"Capital: Baghdad";"IQ";;"Countries";;;29671605;"http://flags.blogpotato.de/flags/large/all/iq.png";
"CO_IR";"Iran";"Capital: Tehran";"IR";;"Countries";;;76923300;"http://flags.blogpotato.de/flags/large/all/ir.png";
"CO_IS";"Iceland";"Capital: Reykjavík";"IS";;"Countries";;;308910;"http://flags.blogpotato.de/flags/large/all/is.png";
"CO_IT";"Italy";"Capital: Rome";"IT";;"Countries";;;60340328;"http://flags.blogpotato.de/flags/large/all/it.png";
"CO_JE";"Jersey";"Capital: Saint Helier";"JE";;"Countries";;;90812;"http://flags.blogpotato.de/flags/large/all/je.png";
"CO_JM";"Jamaica";"Capital: Kingston";"JM";;"Countries";;;2847232;"http://flags.blogpotato.de/flags/large/all/jm.png";
"CO_JO";"Jordan";"Capital: Amman";"JO";;"Countries";;;6407085;"http://flags.blogpotato.de/flags/large/all/jo.png";
"CO_JP";"Japan";"Capital: Tokyo";"JP";;"Countries";;;127288000;"http://flags.blogpotato.de/flags/large/all/jp.png";
"CO_KE";"Kenya";"Capital: Nairobi";"KE";;"Countries";;;40046566;"http://flags.blogpotato.de/flags/large/all/ke.png";
"CO_KG";"Kyrgyzstan";"Capital: Bishkek";"KG";;"Countries";;;5508626;"http://flags.blogpotato.de/flags/large/all/kg.png";
"CO_KH";"Cambodia";"Capital: Phnom Penh";"KH";;"Countries";;;14453680;"http://flags.blogpotato.de/flags/large/all/kh.png";
"CO_KI";"Kiribati";"Capital: Tarawa";"KI";;"Countries";;;92533;"http://flags.blogpotato.de/flags/large/all/ki.png";
"CO_KM";"Comoros";"Capital: Moroni";"KM";;"Countries";;;773407;"http://flags.blogpotato.de/flags/large/all/km.png";
"CO_KN";"Saint Kitts and Nevis";"Capital: Basseterre";"KN";;"Countries";;;49898;"http://flags.blogpotato.de/flags/large/all/kn.png";
"CO_KP";"North Korea";"Capital: Pyongyang";"KP";;"Countries";;;22912177;"http://flags.blogpotato.de/flags/large/all/kp.png";
"CO_KR";"South Korea";"Capital: Seoul";"KR";;"Countries";;;48422644;"http://flags.blogpotato.de/flags/large/all/kr.png";
"CO_XK";"Kosovo";"Capital: Pristina";"XK";;"Countries";;;1800000;"http://flags.blogpotato.de/flags/large/all/xk.png";
"CO_KW";"Kuwait";"Capital: Kuwait City";"KW";;"Countries";;;2789132;"http://flags.blogpotato.de/flags/large/all/kw.png";
"CO_KY";"Cayman Islands";"Capital: George Town";"KY";;"Countries";;;44270;"http://flags.blogpotato.de/flags/large/all/ky.png";
"CO_KZ";"Kazakhstan";"Capital: Astana";"KZ";;"Countries";;;15340000;"http://flags.blogpotato.de/flags/large/all/kz.png";
"CO_LA";"Laos";"Capital: Vientiane";"LA";;"Countries";;;6368162;"http://flags.blogpotato.de/flags/large/all/la.png";
"CO_LB";"Lebanon";"Capital: Beirut";"LB";;"Countries";;;4125247;"http://flags.blogpotato.de/flags/large/all/lb.png";
"CO_LC";"Saint Lucia";"Capital: Castries";"LC";;"Countries";;;160922;"http://flags.blogpotato.de/flags/large/all/lc.png";
"CO_LI";"Liechtenstein";"Capital: Vaduz";"LI";;"Countries";;;35000;"http://flags.blogpotato.de/flags/large/all/li.png";
"CO_LK";"Sri Lanka";"Capital: Colombo";"LK";;"Countries";;;21513990;"http://flags.blogpotato.de/flags/large/all/lk.png";
"CO_LR";"Liberia";"Capital: Monrovia";"LR";;"Countries";;;3685076;"http://flags.blogpotato.de/flags/large/all/lr.png";
"CO_LS";"Lesotho";"Capital: Maseru";"LS";;"Countries";;;1919552;"http://flags.blogpotato.de/flags/large/all/ls.png";
"CO_LT";"Lithuania";"Capital: Vilnius";"LT";;"Countries";;;3565000;"http://flags.blogpotato.de/flags/large/all/lt.png";
"CO_LU";"Luxembourg";"Capital: Luxembourg";"LU";;"Countries";;;497538;"http://flags.blogpotato.de/flags/large/all/lu.png";
"CO_LV";"Latvia";"Capital: Riga";"LV";;"Countries";;;2217969;"http://flags.blogpotato.de/flags/large/all/lv.png";
"CO_LY";"Libya";"Capital: Tripolis";"LY";;"Countries";;;6461454;"http://flags.blogpotato.de/flags/large/all/ly.png";
"CO_MA";"Morocco";"Capital: Rabat";"MA";;"Countries";;;31627428;"http://flags.blogpotato.de/flags/large/all/ma.png";
"CO_MC";"Monaco";"Capital: Monaco";"MC";;"Countries";;;32965;"http://flags.blogpotato.de/flags/large/all/mc.png";
